,FIPS,Per_Capita_Income,Poverty,Disability,NoHighSchoolDiploma,LifeExpectancy
375,12111,23422.0,18.4,15.6,14.4,79.12
376,12113,27478.0,12.2,14.6,9.8,78.2
377,12115,33300.0,11.8,15.5,7.8,81.51
378,12117,28870.0,11.6,10.4,7.8,80.39
379,12119,28875.0,10.9,19.2,11.3,81.74
380,12121,18966.0,24.1,17.4,21.6,75.41
381,12123,16748.0,13.8,23.0,25.5,75.73
382,12125,13467.0,19.0,14.8,25.2,67.57
383,12127,23844.0,17.6,15.6,11.9,77.49
384,12129,21738.0,13.4,18.2,12.5,76.41
385,12131,25854.0,17.7,17.4,15.2,77.25
386,12133,17950.0,19.5,20.1,19.6,74.85
387,13001,19440.0,22.5,18.3,24.4,74.29
388,13003,16228.0,29.9,14.9,32.9,73.92
389,13005,18109.0,20.4,17.7,25.8,72.91
390,13007,22136.0,22.6,17.9,20.4,77.97
391,13009,18582.0,32.1,13.5,17.5,76.09
392,13011,20433.0,16.3,15.9,22.4,77.4
393,13013,21185.0,13.5,12.4,17.7,76.4
394,13015,21715.0,16.3,13.8,18.7,76.13
395,13017,15497.0,36.2,23.7,21.3,73.59
396,13019,16660.0,25.3,17.8,20.6,75.18
397,13021,21276.0,26.7,14.3,17.3,73.78
398,13023,19191.0,25.9,20.1,18.3,75.79
399,13025,16774.0,20.9,24.3,22.9,74.81
400,13027,19473.0,27.8,21.1,22.8,75.59
401,13029,27941.0,12.6,10.6,10.8,75.94
402,13031,18546.0,33.1,11.8,13.7,77.07
403,13033,16663.0,33.7,17.4,22.8,73.27
404,13035,20165.0,17.8,14.6,24.7,74.04
405,13037,15410.0,40.3,16.3,31.7,73.95
406,13039,23833.0,13.2,10.5,8.9,77.68
407,13043,16943.0,29.0,18.4,23.3,74.37
408,13045,21384.0,19.9,15.2,19.9,75.22
409,13047,22415.0,13.1,14.8,16.6,78.1
410,13049,17586.0,18.0,13.0,24.4,75.38
411,13051,25636.0,19.3,11.6,11.3,77.04
412,13053,19538.0,9.0,16.0,7.0,77.13
413,13055,15932.0,23.9,17.6,31.9,74.52
414,13057,30299.0,10.3,9.2,11.1,79.93
415,13059,19333.0,35.70000000000001,10.3,14.5,78.35
416,13061,12446.0,45.8,23.1,20.0,74.45
417,13063,18074.0,24.8,11.1,18.2,77.22
418,13065,18256.0,34.6,19.9,25.4,73.14
419,13067,33418.0,13.0,8.1,9.0,80.08
420,13069,16796.0,26.0,15.6,22.9,74.89
421,13071,16972.0,27.7,14.4,28.6,74.78
422,13073,30411.0,9.6,10.2,8.9,79.76
423,13075,18858.0,25.1,14.5,25.0,74.22
424,13077,27462.0,13.0,10.3,11.7,78.17
425,13079,21128.0,17.3,15.1,20.9,76.63
426,13081,19455.0,31.7,20.1,22.2,74.87
427,13083,21760.0,13.7,17.7,19.7,75.58
428,13085,28138.0,15.8,11.9,14.9,78.26
429,13087,18387.0,29.6,15.6,21.1,74.46
430,13089,28971.0,19.6,9.8,11.6,79.14
431,13091,17771.0,19.6,18.1,20.4,74.99
432,13093,14411.0,27.9,15.2,26.5,77.16
433,13095,18770.0,32.4,15.1,20.2,75.19
434,13097,23356.0,16.2,11.6,12.3,77.06
435,13099,19302.0,27.3,14.8,20.2,73.76
436,13101,17350.0,30.1,14.1,27.0,77.31
437,13103,25481.0,10.5,12.2,14.3,76.74
438,13105,19709.0,20.5,17.7,21.9,74.78
439,13107,16960.0,30.8,16.6,22.7,73.37
440,13109,19177.0,27.0,15.4,25.0,74.74
441,13111,19520.0,22.6,22.3,20.1,76.94
442,13113,35987.0,8.1,9.6,6.3,81.22
443,13115,20863.0,21.4,16.5,22.1,75.8
444,13117,35118.0,7.1,7.6,8.4,81.28
445,13119,18242.0,20.8,19.3,28.0,74.79
446,13121,36827.0,17.8,9.3,9.3,77.65
447,13123,21260.0,21.4,18.5,22.5,78.32
448,13125,19134.0,16.6,13.7,17.5,74.14
449,13127,26667.0,19.7,14.9,13.4,76.9
450,13129,19595.0,20.4,15.2,26.3,75.73
451,13131,16286.0,31.1,17.9,27.0,75.54
452,13133,28179.0,26.0,12.4,20.6,76.81
453,13135,26060.0,13.8,7.2,12.7,80.58
454,13137,18816.0,17.8,16.1,22.0,78.3
455,13139,23551.0,18.8,10.8,21.5,78.57
456,13141,12661.0,32.6,15.0,27.6,75.28
457,13143,20468.0,20.9,18.8,23.6,73.75
458,13145,32002.0,8.7,16.5,10.5,78.87
459,13147,20881.0,24.6,16.8,19.2,77.02
460,13149,19360.0,22.7,22.4,24.4,74.81
461,13151,25123.0,12.8,9.8,10.4,77.5
462,13153,24613.0,16.6,11.5,11.0,77.82
463,13155,18614.0,22.3,18.4,18.3,75.45
464,13157,23076.0,15.0,13.7,18.5,75.71
465,13159,21526.0,22.1,14.4,20.0,75.96
466,13161,17898.0,24.5,16.8,21.0,73.49
467,13163,14795.0,31.8,15.4,28.2,73.05
468,13165,18351.0,29.8,18.6,26.9,74.0
469,13167,17078.0,22.3,19.5,24.0,75.89
470,13169,25526.0,15.5,14.9,12.4,77.92
471,13171,19137.0,19.9,16.5,16.4,74.4
472,13173,16860.0,30.6,19.6,22.0,75.4
473,13175,19002.0,25.7,12.9,19.2,75.06
474,13177,26886.0,11.9,11.0,14.4,77.62
475,13179,20308.0,18.2,12.8,9.8,76.8
476,13181,21579.0,24.3,16.6,17.7,75.83
477,13183,18206.0,18.5,12.9,15.7,77.1
478,13185,19353.0,25.3,13.0,16.3,76.04
479,13187,20333.0,20.1,14.8,14.0,77.59
480,13189,18743.0,23.3,15.5,25.9,73.76
481,13191,23286.0,18.1,26.8,21.4,78.08
482,13193,13546.0,29.6,20.7,29.8,73.79
483,13195,20661.0,18.5,15.9,19.6,75.42
484,13197,19420.0,18.6,18.3,24.0,75.69
485,13199,18441.0,22.9,19.8,28.0,74.87
486,13201,20641.0,26.2,15.5,22.0,75.41
487,13205,15547.0,30.4,17.0,26.8,75.1
488,13207,23196.0,13.4,14.7,19.7,77.13
489,13209,17378.0,24.7,16.4,17.8,75.87
490,13211,25012.0,15.3,14.1,18.2,77.33
491,13213,16481.0,20.8,15.9,31.2,74.91
492,13215,23209.0,20.2,18.4,14.5,75.13
493,13217,21811.0,16.6,13.7,16.4,76.05
494,13219,34086.0,8.2,9.8,7.6,80.43
495,13221,21764.0,14.6,15.7,18.1,77.93
